seq_size,tempsCopy,tempsSansCopy
10,38,26
20,67,51
40,119,129
80,203,171
160,414,343
320,811,686
640,1620,1146
1280,2690,2060
2560,4411,4065
5120,8950,7376
10240,20242,14968
20480,46089,30099
40960,78532,60303
81920,174412,120716
163840,320711,243660
327680,689666,481895
655360,1414322,964268
