10	31	25
20	31	27
40	40	31
80	58	41
160	83	64
320	141	106
640	247	182
1280	394	271
2560	790	525
5120	1515	686
10240	2253	1569
20480	4595	2727
40960	9396	5453
81920	25137	19192
163840	52406	37024
327680	103099	71033
655360	200411	121278
